COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,BIC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA
SECC,1542,90105,"J.P. MORGAN SECURITIES LTD, S.E.","J.P. MORGAN SECURITIES LTD, SUCURSAL EN ESPAÑA",,W0068121C,CL,JOSE ORTEGA Y GASSET,29,,28006,MADRID,,GB,,915161200,,915161616,,,,0000,01/07/2011,01/07/2011,,28,,N,,J.P. MORGAN SECURITIES LTD,125 LONDON WALL                                                  EC2Y 5AJ,LONDRES,,,,,12,,"J.P. MORGAN SECURITIES LTD, S.E.",J.P. MORGAN SEC
SECC,1543,90105,"COFIDIS, S.A. SUCURSAL EN ESPAÑA","COFIDIS, S.A. SUCURSAL EN ESPAÑA",,W0017686G,PZ,DE LA PAU,S/N,"EDIFICIO WTC, AP1",8940,CORNELLA DE LLOBREGAT,BARCELONA,FR,,902308030,,934183057,WWW.COFIDIS.ES,,,0000,11/01/2012,11/01/2012,,8,,N,,"COFIDIS, SOCIEDAD ANONIMA",61 AVENUE HALLEY                                                 PARC DE LA HAUTE BORNE,59866 VILLENEUVE DþASCQ,LILLE,,,,9,,"COFIDIS, S.A. SUCURSAL EN ESPAÑA","COFIDIS,S.A.,SE"
SECC,1544,90105,"ANDBANC LUXEMBOURG, S.A., SUCURSAL EN ESPAÑA","ANDBANC LUXEMBOURG, S.A., SUCURSAL EN ESPAÑA",,W0182803G,PS,DE LA CASTELLANA,55,PL. 3,28046,MADRID,,LU,,912062850,,912062879,,,,0000,09/04/2012,14/02/2012,,28,,N,BACAESM1XXX,"ANDBANC LUXEMBOURG, S.A.","7A, RUE ROBERT STÜMPER",L-2557 LUXEMBOURG,,(352)27497610,(352)26845837,,12,,"ANDBANC LUXEMBOURG, S.A., S.E.",ANDBANC S.E.
SECE,0206,100146,"THE DAI-ICHI KANGYO BANK LIMITED, S.E.","THE DAI-ICHI KANGYO BANK LIMITED, SUCURSAL EN ESPAÑA",,B7321103I,CL,MARIA DE MOLINA,4,PL. 5,28006,MADRID,,JP,,915642221,,915644388,,04/03/1999,POR CIERRE,0000,18/10/2000,02/01/1991,,28,,N,DKBBESM1XXX,,,,,,,,12,,THE DAI-ICHI KANGYO BANK LIMITED,DAI-ICHI KANGYO
SECE,0207,100146,"THE TOKAI BANK LIMITED, S.E.","THE TOKAI BANK LIMITED, SUCURSAL EN ESPAÑA",,B7321105D,CL,ALCALA,44,PL. 3,28014,MADRID,,JP,,914355477,,915758553,,10/10/1997,POR DISOLUCION Y LIQUIDACION,0000,18/10/2000,10/01/1991,,28,,N,,,,,,,,,12,,"THE TOKAI BANK LIMITED, S.E.",THE TOKAI BANK
SECE,0214,100146,"ARAB BANK, PLC, S.E.","ARAB BANK, PLC, SUCURSAL EN ESPAÑA",,A6281005F,PS,DE LA CASTELLANA,31,PL. 5,28046,MADRID,,JO,,913084290,,913086484,,09/01/2007,POR CIERRE CON CESION GLOBAL DE ACTIVOS Y PASIVOS A,1505,09/01/2007,01/03/1993,,28,,N,,"ARAB BANK,",P.O. BOX 950544,"SHMEISANI, AMMAN",,,,,12,"EUROPE ARAB BANK PLC, SUCURSAL EN ESPAÑA","ARAB BANK, PLC, S.E.",ARAB BANK
SECE,1452,100146,"UBS, A.G. S.E.","UBS, A.G. SUCURSAL EN ESPAÑA",,A0362564G,CL,MARIA DE MOLINA,4,PL. 4,28006,MADRID,,CH,,915630106,,915633666,,05/10/1999,POR CIERRE CON APORTACION DE SUS ACTIVOS Y PASIVOS A,0226,26/10/2001,08/06/1994,,28,,N,UBSWESMMXXX,,,,,,,,12,"UBS ESPAÑA, S.A.","UBS, A.G. S.E.","UBS, A.G."
SECE,1460,100146,"CREDIT SUISSE AG, S.E.","CREDIT SUISSE AG, SUCURSAL EN ESPAÑA",,A81956856,CL,AYALA,42,,28001,MADRID,,CH,,917916000,,917916010,WWW.CREDIT-SUISSE.COM,,,0000,30/11/2009,27/02/1998,,28,,N,CRESESMMXXX,"CREDIT SUISSE, AG","PARADEPLATZ, 8",8001 ZURICH,,,,,12,,"CREDIT SUISSE AG, S.E.",CREDIT SUISSE
SECE,1485,100146,"BANK OF AMERICA, NATIONAL ASSOCIATION, S.E.","BANK OF AMERICA, NATIONAL ASSOCIATION, SUCURSAL EN ESPAÑA",,W4003376C,PZ,PABLO RUIZ PICASSO,1,PL 39 Y 40 T.PICASSO,28020,MADRID,,US,,913965000,,913965123,,,,0000,08/07/2009,17/07/2002,,28,,N,BOFAES2XXXX,BANK OF AMERICA NA,101 S TRYON ST,CHARLOTTE NC 28255-0001,,,,,12,,"BANK OF AMERICA, N.A., SE",BANK OF AMERICA
SECE,1515,100146,"CITIBANK, N.A., S.E.","CITIBANK, N.A., SUCURSAL EN ESPAÑA",,W4004486I,CL,ORTEGA Y GASSET,29,,28006,MADRID,,US,,915384100,,915384412,,,,0000,01/01/2009,19/07/2007,,28,,N,,"CITIBANK, N.A.",3900 PARADISE ROAD,"LAS VEGAS, NEVADA",,,,,12,,"CITIBANK, N.A., S.E.","CITIBANK, N.A."
OR,1102,121100,"THE CHASE MANHATTAN BANK, N.A.","THE CHASE MANHATTAN BANK, N.A.",,,CL,ALCALA,32,,28014,MADRID,,ES,,0,,0,,18/04/1988,POR APERTURA DE,0000,06/03/2008,06/06/1962,,28,,N,,,,,,,,,12,,"THE CHASE MANHATTAN BANK, N.A.",CHASE MANHATTAN
OR,1103,121100,BANK OF AMERICA NA,BANK OF AMERICA NA,,A4001108B,PS,CASTELLANA,35,,28046,MADRID,,US,,913965000,,913965123,,28/02/2003,POR CIERRE,0000,06/03/2008,11/05/1962,,28,,N,,,,,,,,,12,,BANK OF AMERICA NA,BANK OF AMERICA
OR,1104,121100,THE CHASE MANHATTAN BANK,THE CHASE MANHATTAN BANK,,A4001109J,PS,CASTELLANA,51,PL. 5,28046,MADRID,,US,,913195580,,913198017,,12/11/2001,POR CIERRE,0000,06/03/2008,29/11/1963,,28,,N,,,,,,,,,12,,THE CHASE MANHATTAN BANK,CHASE
OR,1105,121100,BANCO ESPAÑOL DEL RIO DE LA PLATA,BANCO ESPAÑOL DEL RIO DE LA PLATA,,A5281005H,CL,MARIA DE MOLINA,13,,28006,MADRID,,ES,,0,,0,,04/02/1994,POR CIERRE,0000,06/03/2008,22/10/1965,,28,,N,,,,,,,,,12,,BANCO ESPAÑOL DEL RIO DE LA PLATA,ESPARIOPLATA
OR,1106,121100,CONTINENTAL ILLINOIS NB&TC CHICAGO,CONTINENTAL ILLINOIS NB&TC CHICAGO,,,ZZ,GRAN VIA,48,,28013,MADRID,,ES,,0,,0,,03/08/1987,APERTURA COMO SUCURSAL,0000,06/03/2008,22/12/1966,,28,,N,,,,,,,,,12,,CONTINENTAL ILLINOIS NB&TC CHICAGO,NB&TC CHICAGO
OR,1108,121100,BANCO DE COLOMBIA,BANCO DE COLOMBIA,,,CL,SERRANO,38,,28001,MADRID,,ES,,0,,0,,28/10/1993,POR CIERRE,0000,06/03/2008,22/11/1968,,28,,N,,,,,,,,,12,,BANCO DE COLOMBIA,BANCOLOMBIA
OR,1109,121100,FIRST INTERSTATE BANK OF CALIFORNIA,FIRST INTERSTATE BANK OF CALIFORNIA,,A4001078G,CL,RAIMUNDO FERNANDEZ VILLAVERDE,65,"PL.14, EDIF. WINDSOR",28003,MADRID,,US,,0,,0,,05/01/2000,POR CIERRE,0000,06/03/2008,13/09/1968,,28,,N,,,,,,,,,12,,FIRST INTERSTATE BANK OF CALIFORNIA,FIRST INTERSTAT
OR,1110,121100,FIRST WISCONSIN NATIONAL BANK,FIRST WISCONSIN NATIONAL BANK,,,GL,RUBEN DARIO,3,PL. 3,28010,MADRID,,ES,,0,,0,,04/02/1994,POR CIERRE,0000,06/03/2008,23/02/1968,,28,,N,,,,,,,,,12,,FIRST WISCONSIN NATIONAL BANK,F.WISCONSIN
OR,1111,121100,BANCO DE CREDITO DEL PERU,BANCO DE CREDITO DEL PERU,,,CL,SERRANO,67,,28006,MADRID,,ES,,0,,0,,06/10/1987,POR CIERRE,0000,06/03/2008,06/11/1970,,28,,N,,,,,,,,,12,,BANCO DE CREDITO DEL PERU,CTO. DEL PERU
OR,1113,121100,BANQUE SUDAMERIS,BANQUE SUDAMERIS,,A0011051J,CL,SERRANO,67,,28006,MADRID,,FR,,914353037,,915762662,,09/07/2003,POR CIERRE,0000,06/03/2008,23/01/1970,,28,,N,BSUDESM1XXX,BANQUE SUDAMERIS,"4, RUE MEYERBEER",75009 PARIS,,48017777,,,12,,BANQUE SUDAMERIS,SUDAMERIS
OR,1114,121100,CHEMICAL BANK,CHEMICAL BANK,,,PS,CASTELLANA,36-38,,28046,MADRID,,ES,,0,,0,,21/04/1993,POR CIERRE,0000,06/03/2008,14/05/1971,,28,,N,,,,,,,,,12,,CHEMICAL BANK,CHEMICALBANK
OR,1115,121100,BAYERISCHE-HYPOTHEKEN WECHSEL (HYPOBANK),BAYERISCHE-HYPOTHEKEN WECHSEL (HYPOBANK),,A0041001I,PS,CASTELLANA,18,,28046,MADRID,,ES,,0,,0,,02/04/1992,POR CIERRE,0000,06/03/2008,26/05/1972,,28,,N,,,,,,,,,12,,BAYERISCHE-HYPOTEKEN WECHSEL,HYPOBANK
OR,1116,121100,BANQUE SCANDINAVE EN SUISSE,BANQUE SCANDINAVE EN SUISSE,,A0361237A,AV,RICARDO SORIANO,50,PL. 4,29600,MARBELLA,MALAGA,CH,,952829070,,952829476,,14/06/2007,POR CIERRE,0000,06/03/2008,07/07/1972,,29,,N,SCSIESM1XXX,BANQUE SCANDINAVE EN SUISSE,"11, COURS DE RIVE",CH-1211 GENEVE 3,,41227873111,,,1,,BANQUE SCANDINAVE EN SUISSE,SCANSUISSE
OR,1117,121100,BANQUE BRUXELLES LAMBERT,BANQUE BRUXELLES LAMBERT,,,PS,CASTELLANA,15,,28046,MADRID,,ES,,0,,0,,26/11/1987,APERTURA COMO SUCURSAL,0000,06/03/2008,13/10/1972,,28,,N,,,,,,,,,12,,BANQUE BRUXELLES LAMBERT,B. BRUXELLES
OR,1118,121100,CREDIT DU NORD,CREDIT DU NORD,,A0012276B,CL,PRINCIPE DE VERGARA,131,,28002,MADRID,,FR,,913372137,,913372130,,09/07/1999,POR CIERRE,0000,06/03/2008,04/02/1987,,28,,N,,,,,,,,,12,,CREDIT DU NORD,CREDIT DU NORD
OR,1119,121100,SKANDINAVISKA ENSKILDA BANKEN,SKANDINAVISKA ENSKILDA BANKEN,,A0301031A,CL,LEIZARAN,8,,28002,MADRID,,ES,,915640404,,915643812,,17/01/1995,POR CIERRE,0000,06/03/2008,26/02/1972,,28,,N,,,,,,,,,12,,SKANDINAVISKA ENSKILDA BANKEN,SKANENSBAN
OR,1120,121100,FIRST NATIONAL BANK OF CHICAGO,FIRST NATIONAL BANK OF CHICAGO,,,PS,CASTELLANA,18,,28046,MADRID,,ES,,0,,0,,03/11/1987,APERTURA COMO SUCURSAL,0000,06/03/2008,13/10/1972,,28,,N,,,,,,,,,12,,FIRST NATIONAL BANK OF CHICAGO,BANK OF CHICAGO
OR,1121,121100,BANCO DE LA CIUDAD DE BUENOS AIRES,BANCO DE LA CIUDAD DE BUENOS AIRES,,A5281038I,CL,JOSE ORTEGA Y GASSET,26,,28006,MADRID,,AR,,915764448,,915766142,,22/11/1999,POR CIERRE,0000,06/03/2008,06/04/1973,,28,,N,,,,,,,,,12,,BANCO DE LA CIUDAD DE BUENOS AIRES,BUENOS AIRES
OR,1122,121100,UNION DE BANCOS SUIZOS,UNION DE BANCOS SUIZOS,,A0361062C,CL,MARIA DE MOLINA,4,PL. 4,28006,MADRID,,ES,,915630106,,915633666,,06/07/1998,POR FUSION CON,1112,06/03/2008,14/09/1973,,28,,N,,,,,,,,,12,UBS AG,UNION DE BANCOS SUIZOS,BANCOS SUIZOS
OR,1123,121100,BANCO DE LA NACION ARGENTINA,BANCO DE LA NACION ARGENTINA,,A08168908,CL,NUÑEZ DE BALBOA,73,,28001,MADRID,,AR,,915763705,,915766142,BNA@BNA.COM.ES,,,0000,06/03/2008,16/02/1973,,28,,N,,BANCO DE LA NACION ARGENTINA,"CL BARTOLOME MITRE, 326",10036 BUENOS AIRES,,,,,12,,BANCO DE LA NACION ARGENTINA,NAC. ARGENTINA
OR,1124,121100,BANKERS TRUST COMPANY,BANKERS TRUST COMPANY,,,CL,ALMAGRO,34,,28010,MADRID,,ES,,0,,0,,11/11/1987,POR APERTURA DE,0000,06/03/2008,23/02/1973,,28,,N,,,,,,,,,12,,BANKERS TRUST COMPANY,BANKERS TRUST
OR,1125,121100,COMMERCIALE ITALIANA,COMMERCIALE ITALIANA,,,CL,ALMAGRO,34,,28010,MADRID,,ES,,0,,0,,11/03/1991,A PETICION PROPIA,0000,06/03/2008,26/01/1973,,28,,N,,,,,,,,,12,,COMMERCIALE ITALIANA,COMMERITALIA
OR,1126,121100,MORGAN GRENFELL & CO. LIMITED,MORGAN GRENFELL & CO. LIMITED,,B0061197J,CL,JOSE ABASCAL,55,,28003,MADRID,,ES,,914418700,,0,,09/09/1993,A PETICION PROPIA,0000,06/03/2008,15/02/1974,,28,,N,,,,,,,,,12,,MORGAN GRENFELL & CO. LIMITED,MORGREN
OR,1127,121100,STANDARD CHARTERED BANK,STANDARD CHARTERED BANK,,A0061205A,PS,CASTELLANA,36-38,PL. 6,28046,MADRID,,GB,,0,,0,,14/02/2005,POR CIERRE,0000,06/03/2008,15/02/1974,,28,,N,SCBLESM1XXX,STANDARD CHARTERED BANK,"38, BISHOPSGATE",LONDON EC2N 4DE,,4412807500,,,12,,STANDARD CHARTERED BANK,CHARTERED BANK
OR,1128,121100,BARCLAYS BANK INTERNATIONAL LIMITED,BARCLAYS BANK INTERNATIONAL LIMITED,,,PZ,COLON,1,,28046,MADRID,,ES,,914102800,,0,,07/03/1989,POR CIERRE,0000,06/03/2008,31/05/1974,,28,,N,,,,,,,,,12,,BARCLAYS BANK INTERNATIONAL LIMITED,BARCLAYS BANK
OR,1129,121100,BANK OF MONTREAL,BANK OF MONTREAL,,,CL,O'DONNELL,4,,28009,MADRID,,ES,,0,,0,,11/05/1987,POR CIERRE,0000,06/03/2008,31/05/1974,,28,,N,,,,,,,,,12,,BANK OF MONTREAL,BANK MONTREAL
OR,1130,121100,L'EUROPEENNE DE BANQUE,L'EUROPEENNE DE BANQUE,,,CL,RAFAEL CALVO,18,,28010,MADRID,,ES,,0,,0,,19/10/1987,POR CIERRE,0000,06/03/2008,04/06/1976,,28,,N,,,,,,,,,12,,L'EUROPEENNE DE BANQUE,L'EUROPEENNE
OR,1131,121100,"SKANDINAVISKA ENSKILDA BANKEN, LONDON BRANCH","SKANDINAVISKA ENSKILDA BANKEN, LONDON BRANCH",,A0061204D,CL,LEIZARAN,8,,28002,MADRID,,ES,,915640404,,915643812,,17/01/1995,A PETICION PROPIA,0000,06/03/2008,04/04/1976,,28,,N,,,,,,,,,12,,SKANDINAVISKA ENSKILDA BANKEN,SKANDINAVISKA
OR,1132,121100,"BANCO MEXICANO, S.A.","BANCO MEXICANO, S.A.",,,PS,CASTELLANA,19,PL. 1,28046,MADRID,,ES,,0,,0,,03/08/1987,ORDEN DEL JEFE DE OFICINA,0000,06/03/2008,07/05/1976,,28,,N,,,,,,,,,12,,"BANCO MEXICANO, S.A.",BANCO MEXICANO
OR,1133,121100,COMPAGNIE INTERNATIONALE DE BANQUE,COMPAGNIE INTERNATIONALE DE BANQUE,,,CL,MARIA DE MOLINA,1,PL. 4,28006,MADRID,,ES,,0,,0,,12/01/1989,A PETICION PROPIA,0000,06/03/2008,09/04/1976,,28,,N,,,,,,,,,12,,COMPAGNIE INTERNATIONALE DE BANQUE,COMPAGNIE INT.
OR,1134,121100,BANCO GANADERO,BANCO GANADERO,,,CL,RODRIGUEZ MARIN,88,PL. 1,28016,MADRID,,ES,,915622484,,915624011,,07/02/1997,A PETICION PROPIA,0000,06/03/2008,16/09/1976,,28,,N,,,,,,,,,12,,BANCO GANADERO,BANCO GANADERO
OR,1136,121100,SINGER & FRIEDLANDER LIMITED,SINGER & FRIEDLANDER LIMITED,,,CL,CLAUDIO COELLO,106,PL. 1,28006,MADRID,,ES,,0,,0,,03/08/1987,ORDEN DEL JEFE DE OFICINA,0000,06/03/2008,02/06/1977,,28,,N,,,,,,,,,12,,SINGER & FRIEDLANDER LIMITED,SINGER & FRIED.
OR,1137,121100,BANQUE CENTRALE POPULAIRE,BANQUE CENTRALE POPULAIRE,,N2041007B,CL,VELAZQUEZ,34,PL. 1,28001,MADRID,,MA,,915207066,,915754699,,,,0000,01/01/2009,09/07/1977,,28,,N,,BANQUE CENTRALE POPULAIRE,"101, BD. MOHAMMED ZERKTOUNI - BP 10622",21100 CASABLANCA,,21222202533,,,12,,BANQUE CENTRALE POPULAIRE,CENT. POPULAIRE
OR,1138,121100,NATEXIS BANQUES POPULAIRES,NATEXIS BANQUES POPULAIRES,,G0011092D,PS,CASTELLANA,18,PL. 4,28046,MADRID,,FR,,914319760,,915774562,,20/09/2004,POR CIERRE,0000,06/03/2008,09/12/1987,,28,,N,,NATEXIS BANQUES POPULAIRES,"115, RUE MONTMARTRE",75002 PARIS,,,,,12,,NATEXIS BANQUES POPULAIRES,NATEXIS BANQUES
OR,1139,121100,BANCA POPOLARE DI NOVARA,BANCA POPOLARE DI NOVARA,,B0051128G,PZ,MARQUES DE SALAMANCA,7,,28006,MADRID,,IT,,914311779,,915754448,,02/01/2001,POR CIERRE,0000,06/03/2008,12/05/1978,,28,,N,,,,,,,,,12,,BANCA POPOLARE DI NOVARA,BANCA DI NOVARA
OR,1140,121100,SUMITOMO BANK LIMITED,"SUMITOMO BANK, LIMITED",,,PS,GRACIA,54,,8007,BARCELONA,,ES,,934100203,,934196664,,05/11/1991,POR CIERRE,0000,06/03/2008,07/08/1979,,8,,N,,,,,,,,,9,,SUMITOMO BANKLIMITED,SUMIBANK
OR,1141,121100,LJUBLJANSKA BANKA,LJUBLJANSKA BANKA,,A0481002D,ZZ,VIA AUGUSTA,192,PL. 6,8021,BARCELONA,,SI,,0,,0,,02/12/1999,POR CIERRE,0000,06/03/2008,28/04/1979,,8,,N,,,,,,,,,9,,LJUBLJANSKA BANKA,LJUBLBANSKA
OR,1142,121100,CREDIT COMMERCIAL DE FRANCE,CREDIT COMMERCIAL DE FRANCE,,,PS,CASTELLANA,91,,28046,MADRID,,ES,,0,,0,,11/11/1987,APERTURA COMO SUCURSAL,0000,06/03/2008,05/01/1979,,28,,N,,,,,,,,,12,,CREDIT COMMERCIAL DE FRANCE,CR. COM. FRANCE
OR,1143,121100,DAI-ICHI KANGYO BANK LIMITED,DAI-ICHI KANGYO BANK LIMITED,,B7321034F,PS,CASTELLANA,42,,28046,MADRID,,ES,,0,,0,,12/12/1991,POR CIERRE,0000,06/03/2008,07/08/1979,,28,,N,,,,,,,,,12,,DAI-ICHI KANGYO BANK LIMITED,DAIKANGYO
OR,1144,121100,"FORTIS BANK, S.A.","FORTIS BANK, S.A.",,,CL,JOSE ORTEGA Y GASSET,29,PL. 6,28006,MADRID,,BE,,914317237,,914312277,,10/02/2000,POR CIERRE,0000,06/03/2008,12/01/1979,,28,,N,,,,,,,,,12,,"FORTIS BANK, S.A.",FORTIS
OR,1145,121100,"BANCOMER, S.A.","BANCOMER, S.A.",,A4121013I,PZ,COLON,2,"TORRE 1, PLANTA 6",28046,MADRID,,ES,,913084386,,913084439,,03/03/1994,A PETICION PROPIA,0000,06/03/2008,27/02/1979,,28,,N,,,,,,,,,12,,"BANCOMER, S.A.","BANCOMER,S.A."
OR,1146,121100,"BANCA SOMEX, S.A.","BANCA SOMEX, S.A.",,,PS,CASTELLANA,19,PL. 1,28046,MADRID,,ES,,0,,0,,03/08/1987,ORDEN DEL JEFE DE OFICINA,0000,06/03/2008,28/04/1979,,28,,N,,,,,,,,,12,,"BANCA SOMEX, S.A.",BANCA SOMEX
OR,1147,121100,"DEN DANSKE BANK AKTIESELSKAB, S.A.","DEN DANSKE BANK AKTIESELSKAB, S.A.",,A0081044J,PS,CASTELLANA,42,,28046,MADRID,,ES,,915750554,,915750554,,06/06/1991,A PETICION PROPIA,0000,06/03/2008,31/12/1979,,28,,N,,,,,,,,,12,,"DEN DANSKE BANK AKTIESELSKAB, S.A.",DENDANSBANK
OR,1154,121100,BHF-BANK,BHF-BANK,,A0041084E,CL,MARQUES DE CUBAS,21,,28014,MADRID,,DE,,914290072,,914290341,,17/12/1999,POR CIERRE,0000,06/03/2008,29/07/1980,,28,,N,,,,,,,,,12,,BHF-BANK,BHF-BANK
OR,1148,121100,THE MITSUBISHI BANK LIMITED,THE MITSUBISHI BANK LIMITED,,,PS,CASTELLANA,51,,28046,MADRID,,ES,,0,,0,,11/05/1987,APERTURA COMO SUCURSAL,0000,06/03/2008,31/10/1979,,28,,N,,,,,,,,,12,,THE MITSUBISHI BANK LIMITED,MITSUBISHI BANK
OR,1149,121100,ROYAL BANK OF CANADA,ROYAL BANK OF CANADA,,N4041023E,CL,NUÑEZ DE BALBOA,4,PL. 1 - C,28001,MADRID,,CA,,913100013,,917811578,,,,0000,14/12/2009,15/01/1980,,28,,N,,ROYAL BANK OF CANADA,200 BAY STREET,"M5J 2J5 TORONTO, ONTARIO",,,,,12,,ROYAL BANK OF CANADA,ROYAL BANK
OR,1150,121100,KBC BANK,KBC BANK,,N0021027H,CL,ANABEL SEGURA,10,,28108,ALCOBENDAS (MADRID),,BE,,913372208,,913372171,,07/02/2011,POR RENUNCIA,0000,07/02/2011,25/02/1980,,28,,N,,KBC BANK,"HAVENLAAN, 2",1080 BRUXELLES,,,,,12,,KBC BANK,KBC
OR,1151,121100,CAISSE NATIONALE DE CREDIT AGRICOLE,CAISSE NATIONALE DE CREDIT AGRICOLE,,,PS,DE LA HABANA,101,,28036,MADRID,,FR,,913742424,,913742552,,15/03/1999,POR CIERRE,0000,06/03/2008,01/08/1980,,28,,N,,,,,,,,,12,,CAISSE NATIONALE DE CREDIT AGRICOLE,CREDIT AGRICOLE
OR,1152,121100,"THE FUJI BANK, LIMITED","THE FUJI BANK, LIMITED",,,PZ,MANUEL GOMEZ MORENO,S/N,EDIF. ALFREDO MAHOU,28006,MADRID,,ES,,915819444,,915819443,,22/09/1995,A PETICION PROPIA.,0000,06/03/2008,12/11/1990,,28,,N,,,,,,,,,12,,"THE FUJI BANK, LIMITED",THE FUJI BANK
OR,1153,121100,THE SANWA BANK LIMITED,THE SANWA BANK LIMITED,,,PS,CASTELLANA,89,,28046,MADRID,,ES,,915440519,,0,,11/02/1991,POR CIERRE,0000,06/03/2008,18/09/1980,,28,,N,,,,,,,,,12,,THE SANWA BANK LIMITED,SANWA BANK
OR,1155,121100,"KREDIETBANK, S.A. LUXEMBOURGEOISE","KREDIETBANK, S.A. LUXEMBOURGEOISE",,A0021027H,CL,PRINCIPE DE VERGARA,131,"PL. 3,",28002,MADRID,,BE,,913372278,,913372196,,02/01/2003,POR CIERRE,0000,06/03/2008,01/03/1981,,28,,N,,,,,,,,,12,,"KREDIETBANK, S.A. LUXEMBOURGEOISE",KREDIETBANK
OR,1156,121100,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,,N4001294J,CL,JOSE ABASCAL,45,PL. 4,28003,MADRID,,US,,911775120,,913192247,,,,0000,01/01/2009,07/12/1981,,28,,N,IRVTESM1XXX,THE BANK OF NEW YORK MELLON,ONE WALL STREET,"NEW YORK, NY 10286",,,,,12,,THE BANK OF NEW YORK MELLON,NEW YORK MELLON
OR,1157,121100,"INDUSTRIAL BANK OF JAPAN, LIMITED","INDUSTRIAL BANK OF JAPAN, LIMITED",,,PS,CASTELLANA,51,PL. 3,28046,MADRID,,ES,,0,,0,,07/06/1989,POR ASIGNACION NUEVOCODIGO B.E.,1189,06/03/2008,08/01/1981,,28,,N,,,,,,,,,12,"THE INDUSTRIAL BANK OF JAPAN, LTD.","INDUSTRIAL BANK OF JAPAN, LIMITED",IND. BANK JAPAN
OR,1158,121100,"UNIBANK, A/S","UNIBANK, A/S",,A0081049I,CL,EL PULPO,5,LOS BOLICHES,29640,FUENGIROLA,MALAGA,DK,,952660748,,952660220,,13/03/2002,POR CIERRE,0000,06/03/2008,15/09/1981,,29,,N,,,,,,,,,1,,"UNIBANK, A/S",UNIBANK
OR,1159,121100,BERENBERG B.,BERENBERG B.,,,CL,PRINCESA,1,T.DE MADRID PL.12,28008,MADRID,,ES,,915417978,,915417918,,04/10/1994,A PETICION PROPIA,0000,06/03/2008,30/10/1981,,28,,N,,,,,,,,,12,,BERENBERG B.,BERENBERG
OR,1160,121100,KOREA EXHANGE BANK,KOREA EXCHANGE BANK,,G7281009F,PS,CASTELLANA,137,,28046,MADRID,,ES,,0,,0,,04/02/1994,ORDEN DEL JEFE DE OFICINA,0000,06/03/2008,22/01/1982,,28,,N,,,,,,,,,12,,KOREA EXHANGE BANK,KOREA
OR,1161,121100,CREDIT AND COMMERCE I.S.A.-L.D.T.,CREDIT AND COMMERCE I.S.A.- L.T.D.,,A0021128D,CL,SERRANO,11,,28001,MADRID,,ES,,0,,0,,02/01/1991,A PETICION PROPIA,0000,06/03/2008,15/11/1982,,28,,N,,,,,,,,,12,,CREDIT AND COMMERCE I.S.A.-L.D.T.,CREDITCO
OR,1162,121100,THE BANK OF NOVA SCOTIA,THE BANK OF NOVA SCOTIA,,,CL,SERRANO JOVER,5,,28015,MADRID,,ES,,0,,0,,03/08/1987,ORDEN DEL JEFE DE OFICINA,0000,06/03/2008,15/11/1982,,28,,N,,,,,,,,,12,,THE BANK OF NOVA SCOTIA,NOVA SCOTIA
OR,1163,121100,TAIYO KOBE BANK LTD.,TAIYO KOBE BANK LTD.,,A7321049D,CL,SERRANO,73,,28006,MADRID,,ES,,0,,0,,05/12/1991,POR CIERRE,0000,06/03/2008,22/01/1982,,28,,N,,,,,,,,,12,,TAIYO KOBE BANK LTD.,TAIYOKOB
OR,1182,121100,UNICREDIT BANK AG,UNICREDIT BANK AG,,N0041117C,CL,MONTALBAN,7,PL. 5,28014,MADRID,,DE,,917011541,,913198671,,09/02/2011,POR CIERRE,0000,09/02/2011,22/07/1987,,28,,N,HYVEESM1XXX,UNICREDIT BANK AG,VOR 1 - AM TUCHERPARK 16,80538 MUNCHEN,,,,,12,,UNICREDIT BANK AG,UNICREDIT BANK
OR,1183,121100,"DEN DANSKE BANK INTERNATIONAL, S.A.","DEN DANSKE BANK INTERNATIONAL, S.A.",,N0361818H,CR,MIJAS,"KM. 3,6",CENTRO IDEA,29649,MIJAS,MALAGA,LU,,952463336,,952479983,,15/01/2009,POR CIERRE,0000,15/01/2009,02/10/1987,,29,,N,,"DEN DANSKE BANK INTERNATIONAL, S.A.","672, RUE DE NEUDORF",L-2220 FINDEL,,,,,1,,"DEN DANSKE BANK INTERNATIONAL, S.A.",DEN DANSKE BANK
